review,int_class,str_class
Wow... Loved this place.,1,pos
Crust is not good.,0,neg
Not tasty and the texture was just nasty.,0,neg
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,pos
The selection on the menu was great and so were the prices.,1,pos
Now I am getting angry and I want my damn pho.,0,neg
Honeslty it didn't taste THAT fresh.),0,neg
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,neg
The fries were great too.,1,pos
A great touch.,1,pos
Service was very prompt.,1,pos
Would not go back.,0,neg
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,neg
"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,pos
I was disgusted because I was pretty sure that was human hair.,0,neg
I was shocked because no signs indicate cash only.,0,neg
Highly recommended.,1,pos
Waitress was a little slow in service.,0,neg
"This place is not worth your time, let alone Vegas.",0,neg
did not like at all.,0,neg
The Burrittos Blah!,0,neg
"The food, amazing.",1,pos
Service is also cute.,1,pos
I could care less... The interior is just beautiful.,1,pos
So they performed.,1,pos
That's right....the red velvet cake.....ohhh this stuff is so good.,1,pos
#NAME?,0,neg
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,pos
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,neg
The worst was the salmon sashimi.,0,neg
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,pos
This was like the final blow!,0,neg
I found this place by accident and I could not be happier.,1,pos
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,neg
"Overall, I like this place a lot.",1,pos
The only redeeming quality of the restaurant was that it was very inexpensive.,1,pos
Ample portions and good prices.,1,pos
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,neg
My first visit to Hiro was a delight!,1,pos
Service sucks.,0,neg
The shrimp tender and moist.,1,pos
There is not a deal good enough that would drag me into that establishment again.,0,neg
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,neg
"On a positive note, our server was very attentive and provided great service.",1,pos
"Frozen pucks of disgust, with some of the worst people behind the register.",0,neg
The only thing I did like was the prime rib and dessert section.,1,pos
It's too bad the food is so damn generic.,0,neg
"The burger is good beef, cooked just right.",1,pos
If you want a sandwich just go to any Firehouse!!!!!,1,pos
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,pos
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,pos
He came running after us when he realized my husband had left his sunglasses on the table.,1,pos
Their chow mein is so good!,1,pos
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,neg
The portion was huge!,1,pos
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,pos
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,neg
Not much seafood and like 5 strings of pasta at the bottom.,0,neg
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,pos
"The ripped banana was not only ripped, but petrified and tasteless.",0,neg
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,neg
This place receives stars for their APPETIZERS!!!,1,pos
The cocktails are all handmade and delicious.,1,pos
We'd definitely go back here again.,1,pos
We are so glad we found this place.,1,pos
"Great food and service, huge portions and they give a military discount.",1,pos
Always a great time at Dos Gringos!,1,pos
Update.....went back for a second time and it was still just as amazing,1,pos
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,neg
A great way to finish a great.,1,pos
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,pos
#NAME?,1,pos
The service was meh.,0,neg
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,neg
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,neg
The scallop dish is quite appalling for value as well.,0,neg
2 times - Very Bad Customer Service !,0,neg
The sweet potato fries were very good and seasoned well.,1,pos
Today is the second time I've been to their lunch buffet and it was pretty good.,1,pos
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,neg
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,neg
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,neg
The turkey and roast beef were bland.,0,neg
This place has it!,1,pos
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,neg
I love the Pho and the spring rolls oh so yummy you have to try.,1,pos
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,neg
All I have to say is the food was amazing!!!,1,pos
Omelets are to die for!,1,pos
Everything was fresh and delicious!,1,pos
"In summary, this was a largely disappointing dining experience.",0,neg
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,pos
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,neg
Best breakfast buffet!!!,1,pos
say bye bye to your tip lady!,0,neg
We'll never go again.,0,neg
Will be back again!,1,pos
Food arrived quickly!,1,pos
It was not good.,0,neg
"On the up side, their cafe serves really good food.",1,pos
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,pos
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,pos
"Best Buffet in town, for the price you cannot beat it.",1,pos
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,pos
This is one of the better buffets that I have been to.,1,pos
So we went to Tigerlilly and had a fantastic afternoon!,1,pos
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,pos
The ambience is wonderful and there is music playing.,1,pos
Will go back next trip out.,1,pos
Sooooo good!!,1,pos
"REAL sushi lovers, let's be honest - Yama is not that good.",0,neg
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,neg
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,pos
"Nice, spicy and tender.",1,pos
Good prices.,1,pos
Check it out.,1,pos
It was pretty gross!,0,neg
I've had better atmosphere.,0,neg
Kind of hard to mess up a steak but they did.,0,neg
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,neg
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,neg
"Worst service to boot, but that is the least of their worries.",0,neg
Service was fine and the waitress was friendly.,1,pos
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,pos
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,pos
"Host staff were, for lack of a better word, BITCHES!",0,neg
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,neg
"Phenomenal food, service and ambiance.",1,pos
I wouldn't return.,0,neg
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,pos
This place is way too overpriced for mediocre food.,0,neg
Penne vodka excellent!,1,pos
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,pos
The management is rude.,0,neg
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,pos
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,pos
I had a seriously solid breakfast here.,1,pos
This is one of the best bars with food in Vegas.,1,pos
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,neg
My drink was never empty and he made some really great menu suggestions.,1,pos
Don't do it!!!!,0,neg
The waiter wasn't helpful or friendly and rarely checked on us.,0,neg
My husband and I ate lunch here and were very disappointed with the food and service.,0,neg
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,neg
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,pos
The bathrooms are clean and the place itself is well decorated.,1,pos
"The menu is always changing, food quality is going down & service is extremely slow.",0,neg
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,neg
I give it 2 thumbs down,0,neg
We watched our waiter pay a lot more attention to other tables and ignore us.,0,neg
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,pos
This is a great restaurant at the Mandalay Bay.,1,pos
We waited for forty five minutes in vain.,0,neg
Crostini that came with the salad was stale.,0,neg
Some highlights : Great quality nigiri here!,1,pos
the staff is friendly and the joint is always clean.,1,pos
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,pos
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,pos
this place is good.,1,pos
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,neg
I came back today since they relocated and still not impressed.,0,neg
I was seated immediately.,1,pos
"Their menu is diverse, and reasonably priced.",1,pos
Avoid at all cost!,0,neg
Restaurant is always full but never a wait.,1,pos
DELICIOUS!!,1,pos
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,pos
So don't go there if you are looking for good food...,0,neg
I've never been treated so bad.,0,neg
Bacon is hella salty.,1,pos
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,neg
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,pos
The waitresses are very friendly.,1,pos
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,pos
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,pos
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,neg
The service here leaves a lot to be desired.,0,neg
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,pos
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,pos
We literally sat there for 20 minutes with no one asking to take our order.,0,neg
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,neg
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,neg
I dressed up to be treated so rudely!,0,neg
